"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"12/14/2019 6 a.m. EST",389031,392176,380838,2184
US48,"12/14/2019 7 a.m. EST",398684,404962,391871,2253
US48,"12/14/2019 8 a.m. EST",414044,420750,407298,2063
US48,"12/14/2019 9 a.m. EST",431711,435258,424543,2507
US48,"12/14/2019 10 a.m. EST",445297,444200,436756,1700
US48,"12/14/2019 11 a.m. EST",450349,447901,441570,1608
US48,"12/14/2019 12 p.m. EST",449554,446385,437826,625
US48,"12/14/2019 1 p.m. EST",444349,441672,432423,473
US48,"12/14/2019 2 p.m. EST",437963,436030,425631,633
US48,"12/14/2019 3 p.m. EST",432517,431762,420502,-96
US48,"12/14/2019 4 p.m. EST",430617,430774,421647,374
US48,"12/14/2019 5 p.m. EST",434945,436910,429336,418
US48,"12/14/2019 6 p.m. EST",448075,447584,436253,241
US48,"12/14/2019 7 p.m. EST",458683,457221,445623,1127
US48,"12/14/2019 8 p.m. EST",462167,460823,449447,1631
US48,"12/14/2019 9 p.m. EST",461056,459064,445788,332
US48,"12/14/2019 10 p.m. EST",454076,450186,437475,143
US48,"12/14/2019 11 p.m. EST",442292,436605,425677,427
US48,"12/15/2019 12 a.m. EST",427017,419665,414806,1413
US48,"12/15/2019 1 a.m. EST",412089,404175,401036,2117
US48,"12/15/2019 2 a.m. EST",399959,391646,387605,1530
US48,"12/15/2019 3 a.m. EST",392261,383520,381315,1050
US48,"12/15/2019 4 a.m. EST",387916,379363,376481,259
US48,"12/15/2019 5 a.m. EST",387214,380133,377249,211
US48,"12/15/2019 6 a.m. EST",390284,385556,381716,786
US48,"12/15/2019 7 a.m. EST",398541,395911,389971,597
US48,"12/15/2019 8 a.m. EST",410786,409568,402849,931
US48,"12/15/2019 9 a.m. EST",424195,421508,415388,841
US48,"12/15/2019 10 a.m. EST",431670,427612,421282,804
US48,"12/15/2019 11 a.m. EST",432724,428576,423121,1085
US48,"12/15/2019 12 p.m. EST",430683,426366,420682,1094
US48,"12/15/2019 1 p.m. EST",428577,424107,418421,1391
US48,"12/15/2019 2 p.m. EST",426633,421958,417616,1214
US48,"12/15/2019 3 p.m. EST",425892,421262,416163,1174
US48,"12/15/2019 4 p.m. EST",427395,424744,421056,1324
US48,"12/15/2019 5 p.m. EST",436165,435039,432941,952
US48,"12/15/2019 6 p.m. EST",453612,450213,443466,-34
US48,"12/15/2019 7 p.m. EST",468229,462881,455687,704
US48,"12/15/2019 8 p.m. EST",476394,468979,463961,710
US48,"12/15/2019 9 p.m. EST",478735,468334,462835,-115
US48,"12/15/2019 10 p.m. EST",469781,457720,451476,-175
US48,"12/15/2019 11 p.m. EST",454032,440978,436298,-474
